n° de ligne,nature,n°/id,"forme ""diplo""",forme modernisée,forme corrigée,lemme,pos,à scinder,à fusionner avec w n°,à corriger,corrigé
1,w,1,,Cy,,CI,Rg,,,,
2,w,2,,commencent,,COMMENCER,Vvc,,,,
3,w,3,,plusieurs,,PLUSIEURS,Di,,,,
4,w,4,,instrucions,,INSTRUCTION,Nc,,,,
5,w,5,,et,,ET,Cc,,,,
6,w,6,,ensaignemens,,ENSEIGNEMENT,Nc,,,,
7,w,7,,",",,",",Fw,,,,
8,w,8,,comment,,COMMENT,Rt,,,,
9,w,9,,et,,ET,Cc,,,,
10,w,10,,par,,PAR,S,,,,
11,w,11,,quelle,,QUEL,Dt,,,,
12,w,12,,maniere,,MANIÈRE,Nc,,,,
13,w,13,,un,,UN,Dn,,,,
14,w,14,,juge,,JUGE,Nc,,,,
15,w,15,,qui,,QUI,Pr,,,,
16,w,16,,a,,AVOIR,Vuc,,,,
17,w,17,,justice,,JUSTICE,Nc,,,,
18,w,18,,et,,ET,Cc,,,,
19,w,19,,juridicion,,JURIDICTION,Nc,,,,
20,w,20,,a,,AVOIR,Vuc,,,,
21,w,21,,gouverner,,GOUVERNER,Vvn,,,,
22,w,22,,",",,",",Fw,,,,
23,w,23,,se,,SE,Pp,,,,
24,w,24,,doit,,DEVOIR,Vvc,,,,
25,w,25,,contenir,,CONTENIR,Vvn,,,,
26,w,26,,et,,ET,Cc,,,,
27,w,27,,comment,,COMMENT,Rt,,,,
28,w,28,,il,,IL,Pp,,,,
29,w,29,,en,,EN,Pp,,,,
30,w,30,,doit,,DEVOIR,Vvc,,,,
31,w,31,,user,,USER,Vvn,,,,
32,w,32,,.,,.,Fs,,,,
33,w,33,,Et,,ET,Cc,,,,
34,w,34,,PREMIEREMENT,,PREMIÈREMENT,Rg,,,,
35,w,35,,Il,,IL,Pp,,,,
36,w,36,,doit,,DEVOIR,Vvc,,,,
37,w,37,,estre,,ÊTRE,Vun,,,,
38,w,38,,constant,,CONSTANT,Ag,,,,
39,w,39,,",",,",",Fw,,,,
40,w,40,,sans,,SANS,S,,,,
41,w,41,,muer,,MUER,Vvn,,,,
42,w,42,,coulleur,,COULEUR,Nc,,,,
43,w,43,,et,,ET,Cc,,,,
44,w,44,,contenance,,CONTENANCE,Nc,,,,
45,w,45,,",",,",",Fw,,,,
46,w,46,,nonobstant,,NONOBSTANT,S,,,,
47,w,47,,chose,,CHOSE,Nc,,,,
48,w,48,,qui,,QUI,Pr,,,,
49,w,49,,lui,,IL,Pp,,,,
50,w,50,,soit,,ÊTRE,Vuc,,,,
51,w,51,,dicte,,DIRE,Ge,,,,
52,w,52,,",",,",",Fw,,,,
53,w,53,,proposée,,PROPOSER,Ge,,,,
54,w,54,,",",,",",Fw,,,,
55,w,55,,respondue,,RÉPONDRE,Ge,,,,
56,w,56,,",",,",",Fw,,,,
57,w,57,,replicquée,,RÉPLIQUER,Ge,,,,
58,w,58,,",",,",",Fw,,,,
59,w,59,,duplicquée,,DUPLIQUER,Ge,,,,
60,w,60,,on,,ON,Pp,,,,
61,w,61,,triplicquée,,TRIPLIQUER,Ge,,,,
62,w,62,,.,,.,Fs,,,,
63,w,63,,Item,,ITEM,Rg,,,,
64,w,64,,",",,",",Fw,,,,
65,w,65,,quant,,QUANT,Rg,,,,
66,w,66,,il,,IL,Pp,,,,
67,w,67,,entre,,ENTRER,Vvc,,,,
68,w,68,,en,,EN,S,,,,
69,w,69,,jugement,,JUGEMENT,Nc,,,,
70,w,70,,pour,,POUR,S,,,,
71,w,71,,juridicion,,JURIDICTION,Nc,,,,
72,w,72,,tenir,,TENIR,Vvn,,,,
73,w,73,,",",,",",Fw,,,,
74,w,74,,il,,IL,Pp,,,,
75,w,75,,doit,,DEVOIR,Vvc,,,,
76,w,76,,",",,",",Fw,,,,
77,w,77,,pour,,POUR,S,,,,
78,w,78,,la,,LE,Da,,,,
79,w,79,,reverence,,RÉVÉRENCE,Nc,,,,
80,w,80,,de,,DE,S,,,,
81,w,81,,justice,,JUSTICE,Nc,,,,
82,w,82,,",",,",",Fw,,,,
83,w,83,,mettre,,METTRE,Vvn,,,,
84,w,84,,la,,LE,Da,,,,
85,w,85,,main,,MAIN,Nc,,,,
86,w,86,,a,,AVOIR,Vuc,,,,
87,w,87,,son,,SON,Ds,,,,
88,w,88,,chappel,,CHAPEAU,Nc,,,,
89,w,89,,ou,,OU,Cc,,,,
90,w,90,,chapperon,,CHAPERON,Nc,,,,
91,w,91,,",",,",",Fw,,,,
92,w,92,,sans,,SANS,S,,,,
93,w,93,,soy,,SE,Pp,,,,
94,w,94,,arrester,,ARRÊTER,Vvn,,,,
95,w,95,,ou,,OU,Cc,,,,
96,w,96,,saluer,,SALUER,Vvn,,,,
97,w,97,,aucun,,AUCUN,Pi,,,,
98,w,98,,des,,UN,Dn,,,,
99,w,99,,assistens,,ASSISTANT,Nc,,,,
100,w,100,,illec,,ILLUEC,Rg,,,,
101,w,101,,",",,",",Fw,,,,
102,w,102,,se,,SE,Pp,,,,
103,w,103,,ils,,ILS,Pp,,,,
104,w,104,,ne,,NE,Rp,,,,
105,w,105,,sont,,ÊTRE,Vuc,,,,
106,w,106,,chevaliers,,CHEVALIER,Nc,,,,
107,w,107,,",",,",",Fw,,,,
108,w,108,,preulats,,PRÉLAT,Nc,,,,
109,w,109,,ou,,OU,Cc,,,,
110,w,110,,barons,,BARON,Nc,,,,
111,w,111,,ou,,OU,Cc,,,,
112,w,112,,gens,,GENS,Nc,,,,
113,w,113,,de,,DE,S,,,,
114,w,114,,telle,,TEL,Di,,,,
115,w,115,,auctorité,,AUTORITÉ,Nc,,,,
116,w,116,,",",,",",Fw,,,,
117,w,117,,quer,,CAR,Cs,,,,
118,w,118,,il,,IL,Pp,,,,
119,w,119,,est,,ÊTRE,Vuc,,,,
120,w,120,,a,,AVOIR,Vuc,,,,
121,w,121,,entendre,,ENTENDRE,Vvn,,,,
122,w,122,,que,,QUE,Cs,,,,
123,w,123,,eu,,AVOIR,Ge,,,,
124,w,124,,jugement,,JUGEMENT,Nc,,,,
125,w,125,,le,,LE,Da,,,,
126,w,126,,juge,,JUGE,Nc,,,,
127,w,127,,est,,ÊTRE,Vuc,,,,
128,w,128,,le,,LE,Da,,,,
129,w,129,,greigneur,,GRAINDRE,Ag,,,,
130,w,130,,et,,ET,Cc,,,,
131,w,131,,lui,,IL,Pp,,,,
132,w,132,,doivent,,DEVOIR,Vvc,,,,
133,w,133,,tous,,TOUT,Pi,,,,
134,w,134,,illec,,ILLUEC,Rg,,,,
135,w,135,,porter,,PORTER,Vvn,,,,
136,w,136,,obeissance,,OBÉISSANCE,Nc,,,,
137,w,137,,et,,ET,Cc,,,,
138,w,138,,reverence,,RÉVÉRENCE,Nc,,,,
139,w,139,,.,,.,Fs,,,,
140,w,140,,Item,,ITEM,Rg,,,,
141,w,141,,après,,APRÈS,S,,,,
142,w,142,,et,,ET,Cc,,,,
143,w,143,,incontinent,,INCONTINENT,Rg,,,,
144,w,144,,que,,QUE,Cs,,,,
145,w,145,,il,,IL,Pp,,,,
146,w,146,,est,,ÊTRE,Vuc,,,,
147,w,147,,entré,,ENTRER,Ge,,,,
148,w,148,,en,,EN,S,,,,
149,w,149,,son,,SON,Ds,,,,
150,w,150,,siège,,SIÈGE,Nc,,,,
151,w,151,,",",,",",Fw,,,,
152,w,152,,il,,IL,Pp,,,,
153,w,153,,doit,,DEVOIR,Vvc,,,,
154,w,154,,faire,,FAIRE,Vvn,,,,
155,w,155,,reverence,,RÉVÉRENCE,Nc,,,,
156,w,156,,en,,EN,S,,,,
157,w,157,,general,,GÉNÉRAL,Ag,,,,
158,w,158,,a,,À,S,,,,
159,w,159,,tous,,TOUT,Di,,,,
160,w,160,,les,,LE,Da,,,,
161,w,161,,assistens,,ASSISTANT,Nc,,,,
162,w,162,,en,,EN,S,,,,
163,w,163,,la,,LE,Da,,,,
164,w,164,,court,,COUR,Nc,,,,
165,w,165,,en,,EN,S,,,,
166,w,166,,disant,,DIRE,Ga,,,,
