n° de ligne,nature,n°/id,"forme ""diplo""",forme modernisée,forme corrigée,lemme,pos,à scinder,à fusionner avec w n°,à corriger,corrigé
1,w,1,uıuant,uiuant,,VIVRE,Ga,,,,
2,w,2,ſom,som,,SON,Ds,,,,
3,w,3,,pere,,PÈRE,Nc,,,,
4,w,4,⁊,et,,ET,Cc,,,,
5,w,5,ſa,sa,,SON,Ds,,,,
6,w,6,,mere,,MÈRE,Nc,,,,
7,saut de ligne,#facs_1_r1l2,,,,,,,,,
8,w,7,,.,,.,Fs,,,,
9,w,8,⁊,et,,ET,Cc,,,,
10,w,9,lı,li,,LE,Da,,,,
11,w,10,one,done,,DONNER,Vvc,,,,
12,w,11,,en,,EN,S,,,,
13,w,12,oere,doere,,DOUAIRE,Nc,,,,
14,w,13,,ou,,OU,Cc,,,,
15,saut de ligne,#facs_1_r1l3,,,,,,,,,
16,w,14,,une,,UN,Dn,,,,
17,w,15,partıe,partie,,PARTIE,Nc,,,,
18,w,16,,ou,,OU,Cc,,,,
19,w,17,,tout,,TOUT,Di,,,,
20,w,18,,le,,LE,Da,,,,
21,saut de ligne,#facs_1_r1l4,,,,,,,,,
22,w,19,marıage,mariage,,MARIAGE,Nc,,,,
23,w,20,ſa,sa,,SON,Ds,,,,
24,w,21,,mere,,MÈRE,Nc,,,,
25,w,22,,.,,.,Fs,,,,
26,w,23,⁊,et,,ET,Cc,,,,
27,w,24,lı,li,,LE,Da,,,,
28,w,25,pereſ,peres,,PÈRE,Nc,,,,
29,w,26,⁊,et,,ET,Cc,,,,
30,w,27,lı,li,,LE,Da,,,,
31,w,28,fılz,filz,,FILS,Nc,,,,
32,w,29,,muerent,,MUER,Vvc,,,,
33,w,30,apꝛes,apres,,APRÈS,S,,,,
34,w,31,,.,,.,Fs,,,,
35,w,32,,la,,LE,Da,,,,
36,w,33,,mere,,MÈRE,Nc,,,,
37,saut de ligne,#facs_1_r1l6,,,,,,,,,
38,w,34,,aura,,AVOIR,Vun,,,,
39,w,35,ſon,son,,SON,Ds,,,,
40,w,36,marıage,mariage,,MARIAGE,Nc,,,,
41,w,37,,tout,,TOUT,Rg,,,,
42,w,38,quıte,quite,,QUITTE,Ag,,,,
43,saut de ligne,#facs_1_r1l7,,,,,,,,,
44,w,39,,.,,.,Fs,,,,
45,w,40,⁊,et,,ET,Cc,,,,
46,w,41,,la,,LE,Da,,,,
47,w,42,,fame,,FEMME,Nc,,,,
48,w,43,,au,,À+LE,S+Da,,,,
49,w,44,fılz,filz,,FILS,Nc,,,,
50,saut de ligne,#facs_1_r1l8,,,,,,,,,
51,w,45,pꝛanᵅ,prandra,,PRENDRE,Vvc,,,,
52,w,46,ſon,son,,SON,Ds,,,,
53,w,47,oere,doere,,DOUAIRE,Nc,,,,
54,w,48,ſeur,seur,,SÛR,Ag,,,,
55,w,49,,l,,LE,Da,,,,
56,w,50,,’,,’,Fw,,,,
57,saut de ligne,#facs_1_r1l9,,,,,,,,,
58,w,51,erıtage,eritage,,HÉRITAGE,Nc,,,,
59,w,52,,au,,À+LE,S+Da,,,,
60,w,53,,pere,,PÈRE,Nc,,,,
61,w,54,⁊,et,,ET,Cc,,,,
62,w,55,,au,,À+LE,S+Da,,,,
63,w,56,fıll,fill,,FILS,Nc,,,,
64,w,57,quı,qui,,QUI,Pr,,,,
65,saut de ligne,#facs_1_r1l10,,,,,,,,,
66,w,58,ſont,sont,,ÊTRE,Vuc,,,,
67,w,59,moꝛt,mort,,MOURIR,Ge,,,,
